"tconst","averageRating","numVotes","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","parentTconst","seasonNumber","episodeNumber"
"tt1118274",7.1,7,"tvEpisode","Who Wrote the Dead Sea Scrolls?","Who Wrote the Dead Sea Scrolls?",0,"2006","\N","23","Documentary,History","tt0487002","1","20"
"tt11183202",7.8,5,"tvEpisode","1944: Les images du jour J","1944: Les images du jour J",0,"2019","\N","26","Documentary,History,Short","tt3088600","6","3"
"tt11183446",6.6,17,"tvMovie","Nikita Khrushchev - The Red Tsar","Nikita Chruschtschow - der Rote Zar",0,"2017","\N","50","Biography,Documentary,History",NA,NA,NA
"tt1118504",7.5,26,"tvMovie","The Great Wall of China","The Great Wall of China",0,"2007","\N","120","History",NA,NA,NA
"tt1118510",7.3,49,"tvMovie","Ten Days That Shook the World","Ten Days That Shook the World",0,"1967","\N","77","Documentary,History",NA,NA,NA
"tt11186836",7.9,8,"tvEpisode","Namedni-1956","Namedni-1956",0,"2019","\N","57","Documentary,History","tt10976260","2","5"
"tt11186840",8,9,"tvEpisode","Namedni-1957","Namedni-1957",0,"2019","\N","56","Documentary,History","tt10976260","2","6"
"tt11186842",7.9,9,"tvEpisode","Namedni-1958","Namedni-1958",0,"2019","\N","45","Documentary,History","tt10976260","2","7"
"tt11186844",7.9,8,"tvEpisode","Namedni-1959","Namedni-1959",0,"2019","\N","51","Documentary,History","tt10976260","2","8"
"tt11186850",8.1,8,"tvEpisode","Namedni-1960","Namedni-1960",0,"2019","\N","37","Documentary,History","tt10976260","2","9"
"tt1118791",7.5,17,"tvEpisode","Underground Apocalypse","Underground Apocalypse",0,"2008","\N","44","Documentary,History","tt0981587","2","1"
"tt1118792",7.1,18,"tvEpisode","Washington, D.C.: Seat of Power","Washington, D.C.: Seat of Power",0,"2008","\N","43","Documentary,History","tt0981587","2","10"
"tt1118793",7.4,19,"tvEpisode","Stalin's Secret Lair","Stalin's Secret Lair",0,"2008","\N","44","Documentary,History","tt0981587","2","11"
"tt1118794",7.9,13,"tvEpisode","Katrina","Katrina",0,"2008","\N","43","Documentary,History","tt0981587","2","12"
"tt1118795",7.2,20,"tvEpisode","Secret Soviet Bases","Secret Soviet Bases",0,"2008","\N","43","Documentary,History","tt0981587","2","13"
"tt1118796",8.4,13,"tvEpisode","Vietnam","Vietnam",0,"2008","\N","42","Documentary,History","tt0981587","2","2"
"tt1118797",8.7,16,"tvEpisode","A-Bomb Underground","A-Bomb Underground",0,"2008","\N","43","Documentary,History","tt0981587","2","3"
"tt1118798",7.3,23,"tvEpisode","Viking Underground","Viking Underground",0,"2008","\N","42","Documentary,History","tt0981587","2","4"
"tt1118799",7.7,15,"tvEpisode","Hitler's Last Secret","Hitler's Last Secret",0,"2008","\N","43","Documentary,History","tt0981587","2","5"
"tt1118800",7.7,18,"tvEpisode","Maya Underground","Maya Underground",0,"2008","\N","46","Documentary,History","tt0981587","2","6"
"tt1118801",6.9,13,"tvEpisode","Mob Underground","Mob Underground",0,"2008","\N","45","Documentary,History","tt0981587","2","7"
"tt1118802",6.9,16,"tvEpisode","Prophecies from Below","Prophecies from Below",0,"2008","\N","45","Documentary,History","tt0981587","2","8"
"tt1118803",7.3,16,"tvEpisode","New York: Secret Societies","New York: Secret Societies",0,"2008","\N","43","Documentary,History","tt0981587","2","9"
"tt1119104",7.8,112,"tvEpisode","Alien Planets","Alien Planets",0,"2007","\N","45","Documentary,History","tt1051155","2","1"
"tt1119105",7.1,82,"tvEpisode","Constellations","Constellations",0,"2008","\N","45","Documentary,History","tt1051155","2","10"
"tt1119106",7,77,"tvEpisode","Unexplained Mysteries","Unexplained Mysteries",0,"2008","\N","45","Documentary,History","tt1051155","2","11"
"tt1119107",7.5,76,"tvEpisode","Cosmic Collisions","Cosmic Collisions",0,"2008","\N","45","Documentary,History","tt1051155","2","12"
"tt1119108",7.3,75,"tvEpisode","Colonizing Space","Colonizing Space",0,"2008","\N","45","Documentary,History","tt1051155","2","13"
"tt1119109",7.6,106,"tvEpisode","Cosmic Holes","Cosmic Holes",0,"2007","\N","45","Documentary,History","tt1051155","2","2"
"tt1119110",7.1,95,"tvEpisode","Mysteries of the Moon","Mysteries of the Moon",0,"2007","\N","45","Documentary,History","tt1051155","2","3"
"tt1119111",7.7,97,"tvEpisode","The Milky Way","The Milky Way",0,"2007","\N","45","Documentary,History","tt1051155","2","4"
"tt1119112",7.6,94,"tvEpisode","Alien Moons","Alien Moons",0,"2008","\N","45","Documentary,History","tt1051155","2","5"
"tt1119113",7.7,96,"tvEpisode","Dark Matter","Dark Matter",0,"2008","\N","45","Documentary,History","tt1051155","2","6"
"tt1119114",7.2,80,"tvEpisode","Astrobiology","Astrobiology",0,"2008","\N","45","Documentary,History","tt1051155","2","7"
"tt1119115",7.7,83,"tvEpisode","Space Travel","Space Travel",0,"2008","\N","45","Documentary,History","tt1051155","2","8"
"tt1119116",7.6,81,"tvEpisode","Supernovas","Supernovas",0,"2008","\N","45","Documentary,History","tt1051155","2","9"
"tt11191226",8.8,10,"short","April 9, 1938, Stampede","Bousculade du 9 Avril 1938",0,"2012","\N","15","Biography,Drama,History",NA,NA,NA
"tt1119180",4.8,961,"tvMovie","The Bridge","Die Brücke",0,"2008","\N","103","Drama,History,War",NA,NA,NA
"tt11192440",8.8,53,"tvEpisode","Halloween Special: Curse of the Harrisville Farmhouse","Halloween Special: Curse of the Harrisville Farmhouse",0,"2019","\N","90","Documentary,History,Reality-TV","tt1319900","19","0"
"tt1119630",6.7,14,"movie","La revolución es un sueño eterno","La revolución es un sueño eterno",0,"2012","\N","110","Biography,History",NA,NA,NA
"tt11196670",7,15,"tvEpisode","Folge 1","Folge 1",0,"2020","\N","48","Drama,History","tt10639680","1","1"
"tt11196680",7.1,14,"tvEpisode","Folge 2","Folge 2",0,"2020","\N","51","Drama,History","tt10639680","1","2"
"tt11196682",7,14,"tvEpisode","Folge 3","Folge 3",0,"2020","\N","51","Drama,History","tt10639680","1","3"
"tt11196696",7.1,15,"tvEpisode","Folge 4","Folge 4",0,"2020","\N","50","Drama,History","tt10639680","1","4"
"tt11196710",6.7,15,"tvEpisode","Folge 5","Folge 5",0,"2020","\N","50","Drama,History","tt10639680","1","5"
"tt11196718",7.1,14,"tvEpisode","Folge 6","Folge 6",0,"2020","\N","51","Drama,History","tt10639680","1","6"
"tt11197488",8.9,10,"tvEpisode","94. Bolum","94. Bolum",0,"2019","\N","\N","Action,Drama,History","tt6536562","4","6"
